,mbta_part_number,description,mfg,mfg_itm_id
19424,04390007,PRESSURE RELIEF DEVICE (GFI),NABI,6313053
19425,04390008,PRESSURE RELEASE DEVICE (CIRCLE SEAL),DO NOT,ORDER FROM MCI 5/25
19426,04390008,PRESSURE RELEASE DEVICE (CIRCLE SEAL),FAB IND,PRC58-10097BB
19427,04390008,PRESSURE RELEASE DEVICE (CIRCLE SEAL),ID CIRCLE SEAL,810097BB
19428,04390008,PRESSURE RELEASE DEVICE (CIRCLE SEAL),MIDWEST BUS,130249
19429,04390008,PRESSURE RELEASE DEVICE (CIRCLE SEAL),NABI,6309931
19430,04390009,LOW PRESSURE SENSOR,NABI,6313055
19431,04390013,CURB SIDE AFT FRAME COVER,FAN IND,CV-GN-203SAFC
19432,04390013,CURB SIDE AFT FRAME COVER,NABI,6306178
19433,04390014,CURB SIDE FRT FRAME COVER ( BO-ONLY ),FAB IND,CV-GN-102-IRF
19434,04390014,CURB SIDE FRT FRAME COVER ( BO-ONLY ),NABI,6001266
19435,04390015,STREET SIDE AFT FRAME COVER,NABI,6313058
19436,04390016,STREET SIDE FRT FRAME COVER,NABI,6313059
19437,04390017,FLUSH CUP LATCH,NABI,6313060
19438,04390018,"BRITE LIFT, TURN LATCH",NABI,6313061
19439,04390024,"SUPPORT, ENG. MOUNT, LEFT",NABI,500.1210.005T
19440,04390024,"SUPPORT, ENG. MOUNT, LEFT",NABI RT  O,000
19441,04390025,"BRACKET, OIL COOLER",NABI,501.1210.059
19442,04390026,SURGE TANK,NABI,501.1313.001
19443,04390027,FAN SUPPORT,NABI,501.1330.001
19444,04390028,FAN SHROUD,NABI,506.1335.000
19445,04390030,"ORDER S/N 04290048 - SUPPORT BRACKET, COOLER",NABI,513.1210.020
19446,04390030,"ORDER S/N 04290048 - SUPPORT BRACKET, COOLER",NABI RT,00
19447,04390031,"SUPPORT BRACKET, COOLER",NABI,513.1210.030
19448,04390031,"SUPPORT BRACKET, COOLER",NABI RT,00
19449,04390035,"AIR TANK, 10 LITER",NABI,25206-54511
19450,04390036,"AIR TANK, 40 LITER",NABI,25276-34542
19451,04390036,"AIR TANK, 40 LITER",NABI RT,000
19452,04390037,"AIR TANK, 30 LITER",NABI,25310-44632
19453,04390037,"AIR TANK, 30 LITER",NABI RT,00
19454,04390038,RUBBER MOUNTING STRIP A,NABI,500.3804.001A
19455,04390039,RUBBER MOUNTING STRIP B,NABI,500.3804.001B
19456,04390040,RUBBER MOUNTING STRIP AA,NABI,500.3804.013A
19457,04390041,RUBBER MOUNTING STRIP C,NABI,500.3804.013C
19458,04390042,STRAP-AIR TANK C,NABI,503.3804.004C
19459,04390043,STRAP-AIR TANK D,NABI,503.3804.004D
19460,04390044,STRAP-AIR TANK K,NABI,503.3804.004K
19461,04390045,STRAP-AIR TANK L,NABI,503.3804.004L
19462,04390046,STRAP-AIR TANK M,NABI,503.3804.004M
19463,04390047,STRAP-AIR TANK N,NABI,503.3804.004N
19464,04390048,HYDRAULIC FILTER (NABI CNG),NABI,500.2303.001
19465,04390048,HYDRAULIC FILTER (NABI CNG),NELSON,871205-A
19466,04390048,HYDRAULIC FILTER (NABI CNG),NEW FLYER,500-2303-001
19467,04390049,"TUBE, RADIATOR SUPPLY",NABI,500-1310-004
19468,04390050,"TUBE, COOLANT BYPASS",NABI,500-1310-002
19469,04390051,"TUBE,LOWER RADIATOR",NABI,500-1310-003
19470,04390053,"ELBOW90,-4MP-6MJ",NABI,416.02.1840.910
19471,04390054,"ADAPTER,-4MP-6MJ",NABI,436.02.2305.906
19472,04390055,DRAIN COCK,NABI,436.03.3804.901
19473,04390056,"PLATE,PR RELIEF, SURGE TANK",NABI,5017122
19474,04390057,"BRACKET,PR RELIEF, SURGE TANK",NABI,5017123
19475,04390060,"TUBE,TURBO/CAC",NABI,5006842
19476,04390061,"DO NOT ORDER - STRAP, RAD TUBE SUPPORT",NABI,5006334
19477,04390062,"TUBE,CAC-ENGINE",NABI,5024798
19478,04390063,"TUBE,CAC-INTAKE",NABI,5011119
19479,04390064,"U-BOLT,4"" ID,3 OFFSET",NABI,5013084
19480,04390065,"HUMP HOSE 4"" SILICONE(BLUE) - 2 RINGS - (SEE SPEC)",NABI,416.06.1530.912
19481,04390065,"HUMP HOSE 4"" SILICONE(BLUE) - 2 RINGS - (SEE SPEC)",NEW FLYER IS NOT ACCEPTABLE,
19482,04390065,"HUMP HOSE 4"" SILICONE(BLUE) - 2 RINGS - (SEE SPEC)",THERMOPOL,3AB4AF400AB03
19483,04390066,"HUMP HOSE 4"" SIL(BROWN)",HEC,400-231
19484,04390066,"HUMP HOSE 4"" SIL(BROWN)",NABI,6306585
19485,04390066,"HUMP HOSE 4"" SIL(BROWN)",NEW FLYER,6333802
19486,04390067,"SPACER,CAC SUP CLAMP",NABI,5026254
19487,04390068,"ELBOW,90,4"" SILICONE",NABI,5013327
19488,04390069,CLOSEOUT RAD/SHROUD,NABI,5025725
19489,04390070,"CLOSEOUT,RAD/FWD",NABI,5014133
19490,04390071,"CLOSEOUT,RAD UPPER LFW",NABI,5023134
19491,04390072,"CLOSEOUT, RAD/UPPER",NABI,5011839
19492,04390073,"CLOSEOUT,RAD,BOTTOM",NABI,5024246
19493,04390074,"CLOSEOUT,RAD/REAR",NABI,5015893
19494,04390075,"CLOSEOUT,RAD,/SHROUD,SIDE",NABI,5015887
19495,04390076,"TAPE-FOAM,SEAL,RAD/TOP",NABI,5010251
19496,04390077,"CLOSEOUT,RAD/ ANGLE BOTTOM",NABI,5010258
19497,04390078,WATER TUBE(SEC1),NABI,504.1355.001
19498,04390079,WATER TUBE(SEC2),NABI,504.1355.002
19499,04390080,WATER TUBE(SEC3),NABI,504.1355.003
19500,04390081,WATER TUBE(SEC4),NABI,504.1355.004
19501,04390082,INSULATION WATER LINE,NABI,70006-02521
19502,04390083,"HOSE, SILICONE WATER LINE - SOLD AS EACH 3 FT LENGTHS",NABI,70007-02067
19503,04390084,"HUB,FAN",NABI,5013746
19504,04390085,CONNECTION ELEMENT,NABI,500-1332-002
19505,04390086,CORE ASSY,NABI,6303184
19506,04390088,FAN & MOTOR ASSY,NABI,416.06.1333.700
19507,04390089,MOUNTING FEET,NABI,500497
19508,04390090,"HOSE, COOLER 28.5",NABI,500-2306-008
19509,04390091,"HOSE, COOLER 26.25",NABI,500-2306-007
19510,04390092,"HOSE, COOLER 60",NABI,5034170
19511,04390093,"ADAPTER, HOSE COOLER",NABI,5004754
19512,04390094,"TEE, HOSE COOLER",NABI,5002677
19513,04390095,"ELBOW, HOSE-COOLER",NABI,5013912
19514,04390096,"ALARMASTAT, 150 DEGREE",MEI CORP,436.03.2305.910
19515,04390096,"ALARMASTAT, 150 DEGREE",MEI CORP,1002-04880-22
19516,04390096,"ALARMASTAT, 150 DEGREE",NABI,436.03.2305.910
19517,04390097,"HOSE, FLUID RES 60",NABI,5031960
19518,04390098,"ADAPTER, HOSE FLUID RES",NABI,5010602
19519,04390099,"ADAPTER, HOSE-HYDR PUMP",NABI,5010603
19520,04390100,ADAPTER HOSE - HYDR PUMP,NABI,5010512
19521,04390101,"ELBOW, HOSE-FLUID RES",NABI,416.00.1210.928
19522,04390102,"ELBOW, HOSE FLUID RES",NABI,436.04.1210.905
19523,04390102,"ELBOW, HOSE FLUID RES",PARKER,1 1/4 CR-S
19524,04390103,"PLUG, -12MP FLUID RES STEEL",NABI,416.01.2301.900
19525,04390106,"ELBOW, -8MJ-8FJ,LONG",NABI,500-2305-026
19526,04390107,"ELBOW, BULKHEAD-8MJ-6FPSTEEL",NABI,5002717
19527,04390108,"ELBOW, BULKHEAD-10MJ-10MJ STEEL",NABI,5033321
19528,04390108,"ELBOW, BULKHEAD-10MJ-10MJ STEEL",PARKER,10-WETX-WLN-S
19529,04390109,"ELBOW, BULKHEAD-8MJ-8MJ, STEEL",NABI,5013941
19530,04390110,"CLAMP, 7/8 HOSE SILICONE",FLEXIBLE,97-4182-00011
19531,04390110,"CLAMP, 7/8 HOSE SILICONE",NABI,5002523
19532,04390111,"ELBOW, 18MM MO-8MJ STEEL",NABI,5025436
19533,04390112,"HYDRAULIC HOSE, 100208/FJ0800/FJ0800 / 41.75",NABI,500-8400-069
19534,04390113,"HYDRAULIC HOSE, 100208/FJ0800/FJ0845 / 67.00 (SEE SPEC PAGE)",NABI,500-8400-071
19535,04390113,"HYDRAULIC HOSE, 100208/FJ0800/FJ0845 / 67.00 (SEE SPEC PAGE)",NEW FLYER,500-8400-071
19536,04390114,"HYDRAULIC HOSE, 150208/FJ0800/FJ1000 / 54.00",NABI,500-8400-072
19537,04390114,"HYDRAULIC HOSE, 150208/FJ0800/FJ1000 / 54.00",NEW FLYER,500-8400-072
19538,04390115,"TEE,-8MJ-8FJS SWIVEL",NABI,416.00.8175.904
19539,04390116,"TUBE, P/S SUPPLY 83.75",NABI,500-2305-032
19540,04390117,"TUBE, P/S RETURN 83.75",NABI,500-2305-033
19541,04390118,"TUBE, P/S SUPPLY, SS",NABI,500-2305-034
19542,04390119,"TUBE, P/S RETURN, SS",NABI,500-2305-035
19543,04390120,"TUBE, P/S SUPPLY 150",NABI,500-2305-036
19544,04390121,"TUBE, P/S RETURN 145.375",NABI,500-2305-037
19545,04390122,"ADAPTER, -10T-10MJ STEEL",NABI,5010411
19546,04390123,"ADAPTER, -16T-16MJ STEEL",NABI,5010526
19547,04390124,REDUCER-16FJ-8MJ STEEL,NABI,5001414
19548,04390125,UNION-16T-16T STEEL,NABI,5014148
19549,04390126,UNION-10T-10T STEEL,NABI,50014147
19550,04390127,POWER STEERING FEED LINE - 35.5 LONG,MAXEQUIP (DO NOT ORDER),MXTN02110910
19551,04390127,POWER STEERING FEED LINE - 35.5 LONG,NABI,5034214
19552,04390127,POWER STEERING FEED LINE - 35.5 LONG,PARKER HANNIFIN,101208/FJ1000/FJ0845 35.5
19553,04390128,"POWER STEERING RETURN LINE - 29"" LONG",MAXEQUIP (DO NOT ORDER),MXTX02110915
19554,04390128,"POWER STEERING RETURN LINE - 29"" LONG",NABI,5034205
19555,04390128,"POWER STEERING RETURN LINE - 29"" LONG",PARKER HANNIFIN,151210/FJ0800/FJ1045 29.0
19556,04390129,"HOSE, 100208/FJ1000/FJ1090 82.0",NABI,500-2305-038
19557,04390130,"CLAMP/1"" HOSE SILICONE",NABI,5002524
19558,04390133,"TUBE, FAN DR RETURN 16",NABI,5030066
19559,04390134,"HOSE, 150216/FJ1600/FJ1690 29.5",NABI,500-8400-075
19560,04390135,"HINGE, FRAME ASSY FUEL TANK",NABI,501-1511-043
19561,04390136,PIN HINGE FRAME ASSY FUEL,NABI,501-1511-053
19562,04390137,CABLE SAFETY FRAME COVER FUEL,MIDWEST,129164
19563,04390137,CABLE SAFETY FRAME COVER FUEL,NABI,501-1511-070
19564,04390137,CABLE SAFETY FRAME COVER FUEL,NABI,129164
19565,04390138,LATCH LIFT TURN,NABI,27761-00001
19566,04390139,HINGE FRAME ASSY FUEL TANK,NABI,501-1511-045
19567,04390140,FRAME COVER S/S AFT,NABI,6306176
19568,04390141,FRAME COVER S/S FRONT,NABI,6306177
19569,04390142,FRAME COVER C/S FRONT,NABI,6306179
19570,04390143,END CAP FRONT FIBERGLASS,NABI,501-1511-201
19571,04390144,END CAP-AFT FIBERGLASS,NABI,501-1511-202
19572,04390145,COVER FUEL LINE CLOSEOUT,NABI,500-1581-010
19573,04390146,LANYARD FUEL LINE COVER,NABI,5023068
19574,04390147,WASHER SQUARE FUEL TANK,NABI,501.1511.054
19575,04390148,RUBBER PAD 115X216 W.2 WHOLES,NABI,501-1511-055
19576,04390149,RUBBER PAD139X202 W 2 WHOLES,NABI,501-1511-056
19577,04390150,RUBBER PAD 195X202 W 4WHOLES,NABI,501-1511-057
19578,04390151,"TAPE, ANTI-SLIP BLACK (36"" X 60' ) 3-M-600 SERIES",NABI,5009604
19579,04390151,"TAPE, ANTI-SLIP BLACK (36"" X 60' ) 3-M-600 SERIES","TOOL UNLIMITED, NORTH SHORE",610
19580,04390152,BLOCK MOUNT ASSY FIXED,NABI,6314387
19581,04390153,VALVE SHUT OFF MANUAL,NABI,6306190
19582,04390154,VALVE SOLENIOD ASSY,MIDWEST,130287
19583,04390154,VALVE SOLENIOD ASSY,NABI,6306187
19584,04390154,VALVE SOLENIOD ASSY,WILLIAMS,130287
19585,04390154,VALVE SOLENIOD ASSY,WILLIAMS,6306187
19586,04390155,VALVE CHECK ASSY,MIDWEST BUS,130250
19587,04390155,VALVE CHECK ASSY,NABI,6306192
19588,04390156,CONNECT 1/2,NABI,6306186
19589,04390156,"CONNECT 1/2 TUBE X1/4 MNPT STAINLESS STEEL, SWAGELOCK ONLY",SWAGELOCK,810-1-4
19590,04390158,TUBE 1/2 END VALVE MANIFOLD END,NABI,6314389
19591,04390159,TUBE 1/2 SS,NABI,6314390
19592,04390160,SUPERIOR VALVE PRD,MIDWEST BUS,130248
19593,04390160,SUPERIOR VALVE PRD,NABI,130248
19594,04390160,SUPERIOR VALVE PRD,NABI,6314391
19595,04390161,TEE 1/2 TUBE SS,NABI,6306455
19596,04390162,"TUBE 1/2"" X 11.5 CTE MAN",NABI,6314392
19597,04390163,"TUBE, 1/2 PRD BLOW OFF",NABI,6306185
19598,04390164,VENT CAP BLK RUBBER,NABI,6314393
19599,04390165,ADAPTER1/2 T X 1/4 NPT,NABI,6314394
19600,04390166,"TUBE 1/2"" X 2-15/16 CTR MAN",NABI,6314395
19601,04390167,TUBE 1/2' X 18 CTR MAN,NABI,6314397
19602,04390168,TEE 3/4 X 1/2 X1/2 SS,NABI,6314399
19603,04390169,"TBE MANIFOLD 1/2"" SS",NABI,6314398
19604,04390170,FILL TUBE 3/4',NABI,6314440
19605,04390171,"TUBE 1/2"" X 51-3/8 CTR MAN",NABI,6314401
19606,04390172,HOSE 130308/5J0800/FJ1000/27,NABI,500-1582-013
19607,04390173,WELDMENT FUEL FILTER,NABI,500-1583-006
19608,04390174,UNION CROSS -8MJ -8MJ-8MJ-8MJ SS,NABI,500-1582-032
19609,04390175,HOSE 130306/FJ0600/FJ0600 27,NABI,500-1582-014
19610,04390176,ELBOW 45 -10FJ-10MJ SS,NABI,500-1582-024
19611,04390177,ADAPTER -8FJ-6MJ SS,NABI,500-1582-023
19612,04390178,UNION SWIVEL -8FJ -8FJ SS,NABI,500-1582-033
19613,04390179,ELBOW -8FJ -6MP SS,NABI,500-1582-035
19614,04390180,GAUGE LOW FUEL PRESSURE 200PSI,NEW FLYER / NABI,500-1582-201
19615,04390182,ADAPTER -6FP-4FP SS,NABI,500-1582-034
19616,04390183,"TUBE 1/2"" LPFILTER TO ENG HTR",NABI,6314593
19617,04390184,HOSE 130306/FJ0600/FJ0600 46,NABI,500-1582-015
19618,04390185,TUBE WEBASTO VENT X-OVER 1/4,NABI,500-1582-025
19619,04390186,TUBE WEBASTO VENT TO FILL BOX 1/4,NABI,500-1582-026
19620,04390187,TUBE WEBASTO VENT TO HTR BAX 1/4,NABI,500-1582-027
19621,04390189,HOSE BARB -10HO-6MP,NABI,5016497
19622,04390190,"TUBE, 3/8 OD ( NABI )",NABI /  METRO,500-1582-017
19623,04390191,ADAPTER -6MP -6FP,NABI,500-1582-009
19624,04390192,ADAPTER -6MP-6FP SS SWAGLOCK,NABI,500-1582-021
19625,04390193,UNION -4T-4TSS SWAGLOK,NABI,500-1582-019
19626,04390194,ELBOW -4T-6MP SS SWAGLOK,NABI,500-1582-018
19627,04390195,ELBOW -4MO-6MJ SS,NABI,500-1582-016
19628,04390196,"TUBE 1/4"" TO VENT TUBE",NABI,6314384
19629,04390197,"UNION 1/4""",NABI,6306146
19630,04390198,STREET ELBOW 3/8,NABI,6314588
19631,04390199,TUBE 1/4' HEATER VENT,NABI,6314589
19632,04390200,"CONNECTOR, 12/ X #8, SAE",NABI,6306150
19633,04390200,"CONNECTOR, 12/ X #8, SAE",NEW FLYER,6802706
19634,04390200,"CONNECTOR, 12/ X #8, SAE",SWAGELOK,109757
19635,04390201,"TEE, 14FP X 1/4T X 1/4T",NABI,6314590
19636,04390202,"TUBE, 1/4"" REGULATOR TO TEE",NABI,634591
19637,04390203,"TUBE, 1/2 X 3/8 MALE SAE ADAPTER",NABI,6306170
19638,04390204,"ELBOW, 1/2 TUBE X #8SAE",NABI,6306166
19639,04390205,"TUBE, 1/2 FILL MANIFOLD TO FUEL FILTER",NABI,6306167
19640,04390206,"TUBE, 1/4"" , FROM DEFUEL VAVLE",NABI,6314592
19641,04390208,"UNION, BULKHEAD, 1/2""",NABI,6314594
19642,04390209,"CONNECTOR, 1/2 X #10, SAE",NABI,6314596
19643,04390210,FILTER HEAD,NABI,6314597
19644,04390211,"UNION, BULKHEAD, 1/4""",NABI,6314598
19645,04390212,"TUBE, 1/2"" , REGULATOR TO BULKHEAD",NABI,6314599
19646,04390213,"TUBE, 1/2"" (BULKHEAD TO LP FILTER)",ATLAS HYDR,BNT103
19647,04390213,"TUBE, 1/2"" (BULKHEAD TO LP FILTER)",NABI,6314595
19648,04390214,CNG DUAL FILL DE-FUEL MANIFOLD,NABI,6306284
19649,04390215,"NUT, 3/4"" , SWAGELOK",NABI,6314601
19650,04390216,"FERRULE, 3/4"" , FRONT",NABI,6314602
19651,04390217,"FERRULE, 3/4"" , BACK",NABI,6314603
19652,04390218,"HANDLE, RED, MAIN SHUT-OFF",NABI,6308597
19653,04390219,"GAUGE, PRESSURE 5000PSI",NABI,6303784
19654,04390219,"GAUGE, PRESSURE 5000PSI",NABI CURRENT P/N 7/9/14,5021965
19655,04390220,"HANDLE, BLACK",NABI,6308598
19656,04390221,"TUBE, 3/8""",INST. PROD,CNG-375-TUBE
19657,04390221,"TUBE, 3/8""",NABI,6314604
19658,04390222,"NUT, 1/2"" , PARKER",NABI,6314605
19659,04390223,"SENSOR, LOW PRESSURE, 350PSI",NABI,6314607
19660,04390224,"VALVE, BALL",NABI,6314608
19661,04390225,"ELBOW, FILL MANIFOLD ASSY",NABI,6314609
19662,04390226,"NUT, 1/4"" , PARKER",NABI,6314610
19663,04390227,"ADAPTER, FILL MANIFOLD ASSY",NABI,6214565
19664,04390228,"DUSTCAP, FILL MANIFOLD ASSY",NABI,6314566
19665,04390229,"NIPPLE, CNG FILL MAN ASSY",NABI,6314567
19666,04390230,"ADAPTER, SS, RECEPTACLE",NABI,6304287
19667,04390232,"RECEPTACLE, SHEREX/OPW 5000 - SLOW FILL RECEPTACLE",NABI,6313049
19668,04390232,"RECEPTACLE, SHEREX/OPW 5000 - SLOW FILL RECEPTACLE",SHEREX,CL5078
19669,04390233,"PLUG, HEX, HOLLOW, #6 SS",NABI,6314570
19670,04390234,"PLUG, HEX, HOLLOW, #4 SS",NABI,6314571
19671,04390235,"ELBOW, #6 SAE",NABI,6314572
19672,04390236,"ELBOW, 1/4"" POSITIONAL, O RING",NABI,6306165
19673,04390237,"ADAPTER, FEMALE, 1/2"" TUBE",NABI,6314573
19674,04390238,"SPACER, BALL VALVE",NABI,6314574
19675,04390239,"BRACKET, SWITCH, DEFUELING, & HOLE",NABI,5027985
19676,04390243,"TERMINAL, 16-14, W/P, FEMALE, S/F ( PACKARD )",NABI,416.07.9660.932
19677,04390243,"TERMINAL, 16-14, W/P, FEMALE, S/F ( PACKARD )",PACKARD,12124580
19678,04390245,"SEAL, GREEN W/P ( PACKARD )",NABI,416-00-9726-900
19679,04390245,"SEAL, GREEN W/P ( PACKARD )",NEO,AA5011302
19680,04390245,"SEAL, GREEN W/P ( PACKARD )",PACKARD,12015323
19681,04390246,"CONNECTOR , W/P, 1-WAY, M ( PACKARD )",NABI,416.00.9736.915
19682,04390246,"CONNECTOR , W/P, 1-WAY, M ( PACKARD )",PACKARD,12010996
19683,04390249,"TUBE, CCV",NABI,5027914
19684,04390250,"AIR CLEANER ASSY, 14"" EBB 14-0209",NABI,5021817
19685,04390251,"PLUG BUTTON, 1""",NABI,5020813
19686,04390255,"CLAMP, T-BOLT 7.312-7.625""",NABI,416.02.1530.908
19687,04390256,"ELBOW, RUBBER, 5/6",NABI,416.02.1530.916
19688,04390257,"CLAMP, T-BOLT 5""",NABI,416.00.1530.916
19689,04390258,"CLAMP, T-BOLT 6""",NABI,416.00.1530.908
19690,04390259,"BRACKET, AIR CLEANER 14""",NABI,416.02.1530.914
19691,04390260,"TUBE, INTAKE BOX CLEANER",NABI,5016420
19692,04390261,"SEAL, TOP BULB, .500 DIA, 1/8 GRIP (UOM EA = FT)",NABI,416.05.7123.902
19693,04390262,"TUBING, AIR BRAKE, 1/4 BLACK - (50 FOOT ROLLS)",NABI,416.00.3804.920
19694,04390264,"TUBE, EXHAUST, 40LFW",MIDWEST,129201
19695,04390264,"TUBE, EXHAUST, 40LFW",NABI /METRO,5006964
19696,04390265,"MUFFLER CATALYST CNG, 11 INCH OD (NELSON)",CUMMINS,200682A
19697,04390265,"MUFFLER CATALYST CNG, 11 INCH OD (NELSON)",NABI,500-1408-006
19698,04390266,"RETAINER, SPRING, EXHAUST",NABI,5021108
19699,04390267,"CLAMP, MUFFLER, UPPER",NABI,505-1401-010
19700,04390268,"CLAMP, MUFFLER, LOWER",NABI,505-1401-020
19701,04390269,"ELBOW, EXHAUST OUTLET, 5"" SS",MIDWEST,129110
19702,04390269,"ELBOW, EXHAUST OUTLET, 5"" SS",NABI,501-1408-010
19703,04390270,"SLOTTED BAR 90, 2 SLOT X 2 SLOT",NABI,5002401
19704,04390271,"SLOTTED BAR, SUPPORT, HEATSHIELD",NABI,5025361
19705,04390274,DIAGNOSTIC COUPLER ASSY,EATON,02-168728
19706,04390274,DIAGNOSTIC COUPLER ASSY,NABI,6317852
19707,04390275,FLOW REGULATOR ASSY,NABI,6315223
19708,04390276,RELIEF VALVE ASSY,NABI,6317849
19709,04390277,VALVE ASSY DIFFERENTIAL PRESSURE SENSING,NABI,6317848
19710,04390278,CHECK VALVE ASSY,NABI,6317853
19711,04390280,COIL REPLACEMENT ONLY,NABI,6317850
19712,04390281,RELIEF VALVE ASSY (2),NABI,6317632
19713,04390282,SHAFT SEAL,CROSS?,5260009
19714,04390282,SHAFT SEAL,NABI,6317851
19715,04390283,"BRACKET, IDLE PULLEY ( 05290519 )",NABI,5012199
19716,04390284,"HYDRAULIC LINE, 100212/FJ1290/76.75",GENERIC,100212/FJ1290/76.75
19717,04390284,"HYDRAULIC LINE, 100212/FJ1290/76.75",NABI,500-8400-046
19718,04390285,"HOSE 3/4"" ID RUBBER FUEL/OIL (UM FT. -6 FT LNGTHS)",NABI,5028895
19719,04390286,O-RING COOLANT BOWL (ITT REGULATOR),ITT CONOFL,96507BN
19720,04390287,O-RING F/SCREW (ITT REGULATOR),ITT CONOFL,78014BN
19721,04390288,"CONNECTION, AIR INTAKE KIT CUMMINS",CUMMINS,3883977
19722,04390289,"DIPSTICK, LANYARD, RESERVOIR HYDRAULIC (NABI)",NABI,6300807
19723,04390290,"DIPSTICK, HYD RESERVOIR",FLEETGUARD,Q347137
19724,04390290,"DIPSTICK, HYD RESERVOIR",NABI,436.02.2305.702
19725,04390291,"CLAMP, SS, EXT BAND SURGE TANK NABI",NABI,416.01.1355.901
19726,04390291,"CLAMP, SS, EXT BAND SURGE TANK NABI",NEW FLYER,6449254
19727,04390292,"GASKET COVER,HYDR. RESERVOIR",NABI,436.02.2305.703
19728,04390292,"GASKET COVER,HYDR. RESERVOIR",NEW FLYER,6383504
19729,04390293,"HOSE, CLS CRKCS VENT DRAIN HOSE",CUMMINS,3976417
19730,04390293,"HOSE, CLS CRKCS VENT DRAIN HOSE",NABI,3976417
19731,04390294,"ELBOW,PLAIN UNION CLS CRKCS VENT DRAIN HOSE",CUMMINS,3972811
19732,04390294,"ELBOW,PLAIN UNION CLS CRKCS VENT DRAIN HOSE",NABI,3972811
19733,04390295,"HOSE,COLANT SURGE TNK/TRANS CLR -120206F/FJ0600/FJ0600//71.0",GENERIC,SEE DESCRIPTION
19734,04390295,"HOSE,COLANT SURGE TNK/TRANS CLR -120206F/FJ0600/FJ0600//71.0",NABI,5029331
19735,04390296,HOSE COOLANT - TURBO TO SURGE TANK,NABI,5029330
19736,04390297,"BOLT, HEX HEAD, M10X40",GENERIC,PER DESC
19737,04390297,"BOLT, HEX HEAD, M10X40",NABI,01501-61040
19738,04390298,"BOLT , HEX HEAD- M12-1.75X80 GRADE 8.8 ZINC",NABI / ELECTRONIC FAST,01501-61280
19739,04390299,"BOLT, HEX HEAD, M12X110",GENERIC,PER DESC
19740,04390299,"BOLT, HEX HEAD, M12X110",NABI,01501-61285
19741,04390300,"BOLT, HEX HEAD, FULL THREADED, M10X30",GENERIC,PER DESC
19742,04390300,"BOLT, HEX HEAD, FULL THREADED, M10X30",NABI,01502-61030
19743,04390301,"BOLT, HEX HEAD, M10X75",GENERIC,PER DESC
19744,04390301,"BOLT, HEX HEAD, M10X75",NABI,01502-61075
19745,04390302,"BOLT, HEX HEAD, M12X45",GENERIC,PER DESC
19746,04390302,"BOLT, HEX HEAD, M12X45",NABI,01502-61245
19747,04390303,"NUT, HEX, M8",GENERIC,PER DESC
19748,04390303,"NUT, HEX, M8",NABI,08500-60008
19749,04390304,"NUT, HEX, M12",GENERIC,PER DESC
19750,04390304,"NUT, HEX, M12",NABI,08500-60012
19751,04390305,"NUT, HEX, L.H. M12",GENERIC,PER DESC
19752,04390305,"NUT, HEX, L.H. M12",MIDWEST BUS,129132
19753,04390305,"NUT, HEX, L.H. M12",NABI,08505-60012
19754,04390306,"NUT, SELF LOCKING , M10 X 1.5",NABI/ ELE FAST,08605-60010
19755,04390307,"NUT, SELF LOCKING, M12X1.75",NABI/ ELE FAST,08605-60012
19756,04390308,"BOLT, HEX, M12X179",GENERIC,PER DESC
19757,04390308,"BOLT, HEX, M12X179",NABI,315-1210-029
19758,04390309,"UPPER RADIATOR SUPPORT, ASSEMBLY, FORWARD",NABI,507-1210-005
19759,04390310,"BOLT, HEX HEAD, M12X150",GENERIC,PER DESC
19760,04390310,"BOLT, HEX HEAD, M12X150",NABI,500-1210-061
19761,04390311,SPACER RING,GENERIC,PER DESC
19762,04390311,SPACER RING,NABI,500-1210-026
19763,04390312,RUBBER SPRING,GENERIC,PER DESC
19764,04390312,RUBBER SPRING,NABI,56552-11565
19765,04390312,RUBBER SPRING,VARIENS KFT,56552-11565
19766,04390313,SPACER,NABI / METRO,509-3314-001A
19767,04390314,"WASHER, NABI",NABI,500-3314-008
19768,04390315,WASHER,GENERIC,PER DESC
19769,04390315,WASHER,NABI,500-3314-004
19770,04390316,LOCK WASHER ( NABI ),NABI,05020-60010
19771,04390316,LOCK WASHER ( NABI ),NABI/ ELECTRIC FAST,05020-60010
19772,04390317,HEX HEAD BOLT,GENERIC,PER DESC
19773,04390317,HEX HEAD BOLT,NABI,0402-61050
19774,04390318,"LEVER HOUSING, NABI STARTER",Delco Remy,1988436
19775,04390319,"POLE, SHOE, NABI STARTER",Delco Remy,1934478
19776,04390320,"PINION,DIFFERENTIAL,FIN",MERITOR,2233M1001
19777,04390320,"PINION,DIFFERENTIAL,FIN",NABI,5005728
19778,04390321,"TUBE, EXHAUST INSULATION BLANKET ( NEDDA )",MIDWEST,129132
19779,04390321,"TUBE, EXHAUST INSULATION BLANKET ( NEDDA )",NEDDA,SD7196618A
19780,04390322,FUEL FILTER,NABI,6310911
19781,04392010,RADIATOR ASSEMBLY,G&O MAN,SPEC # X-6700-50
19782,04392010,RADIATOR ASSEMBLY,NEOPLAN,QL0301001
19783,04392011,INSULTOR-RADIATOR STRUT ITEM5,FLYER INDU,5995007
19784,04392012,"HEAD,MOUNTING-WATER FILTER",FLYER INDU,5959350
19785,04392016,"CLAMP-3.88''DIA., CONNECTOR TURBOCHARGER",POWER PROD,5146165
